events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('A', 'c'), ('A', 'a'))",c,33,0,0.33663366336633666,0,303.3069306930693
"(('A', 'c'), ('A', 'a'))",o,44,179,0.44554455445544555,0.1997780244173141,2.23019801980198
"(('A', 'c'), ('A', 'a'))",b,63,351,0.6336633663366337,0.390677025527192,1.621962196219622
"(('A', 'c'), ('E', 'c'))",b,39,209,0.39603960396039606,0.23307436182019978,1.6991984912776994
"(('A', 'c'), ('E', 'c'))",c,52,222,0.5247524752475248,0.24750277469478357,2.1201882520090574
"(('A', 'c'), ('E', 'c'))",o,68,357,0.6831683168316832,0.3973362930077691,1.719370540405996
"(('A', 'c'), ('F', 'c'))",o,71,351,0.7128712871287128,0.390677025527192,1.8247074707470745
"(('A', 'c'), ('F', 'c'))",c,50,249,0.504950495049505,0.27746947835738067,1.819841584158416
"(('A', 'c'), ('F', 'c'))",b,44,216,0.44554455445544555,0.24084350721420644,1.8499338413103983
"(('A', 'c'), ('G', 'a'))",o,62,360,0.6237623762376238,0.40066592674805773,1.556814130166479
"(('A', 'c'), ('G', 'a'))",c,57,258,0.5742574257425742,0.2874583795782464,1.9977063343399977
"(('A', 'c'), ('G', 'a'))",b,37,210,0.37623762376237624,0.2341842397336293,1.6065881469663554
"(('A', 'c'), ('G', 'c'))",c,62,245,0.6237623762376238,0.2730299667036626,2.2845930934556873
"(('A', 'c'), ('G', 'c'))",o,56,347,0.5643564356435643,0.38623751387347394,1.4611642198702626
"(('A', 'c'), ('G', 'c'))",b,45,230,0.45544554455445546,0.2563817980022198,1.7764347863357763
"(('A', 'c'), ('H', 'a'))",o,51,350,0.5148514851485149,0.3895671476137625,1.3215988265493217
"(('A', 'c'), ('H', 'a'))",b,43,204,0.43564356435643564,0.22752497225305215,1.9147065926104807
"(('A', 'c'), ('H', 'a'))",c,56,247,0.5643564356435643,0.27524972253052166,2.050343340785691
"(('A', 'c'), ('I', 'a'))",c,63,256,0.6336633663366337,0.28523862375138737,2.2215202064953576
"(('A', 'c'), ('I', 'a'))",b,45,210,0.45544554455445546,0.2341842397336293,1.9448172305382196
"(('A', 'c'), ('I', 'a'))",o,61,365,0.6138613861386139,0.40621531631520535,1.5111724287182815
"(('A', 'c'), ('I', 'c'))",b,38,216,0.38613861386138615,0.24084350721420644,1.6032759958023453
"(('A', 'c'), ('I', 'c'))",o,63,348,0.6336633663366337,0.3873473917869034,1.6359045646685013
"(('A', 'c'), ('I', 'c'))",c,63,240,0.6336633663366337,0.26748057713651496,2.3690070251838464
"(('A', 'c'), ('J', 'a'))",o,64,350,0.6435643564356436,0.3895671476137625,1.651998533186652
"(('A', 'c'), ('J', 'a'))",c,63,248,0.6336633663366337,0.2763596004439512,2.2928943496759313
"(('A', 'c'), ('J', 'a'))",b,37,226,0.37623762376237624,0.2519422863485017,1.4933484537881099
"(('A', 'c'), ('J', 'c'))",c,60,234,0.6039603960396039,0.26082130965593786,2.315609858858226
"(('A', 'c'), ('J', 'c'))",b,47,195,0.4752475247524752,0.21753607103218647,2.1846837744998986
"(('A', 'c'), ('J', 'c'))",o,58,355,0.5841584158415841,0.3951165371809101,1.4784458782956946
"(('A', 'a'), ('G', 'c'))",c,61,243,0.6138613861386139,0.27081021087680357,2.2667586430774223
"(('A', 'a'), ('G', 'c'))",o,66,368,0.6633663366336634,0.4095449500554939,1.619764415465937
"(('A', 'a'), ('G', 'c'))",b,44,207,0.44554455445544555,0.23085460599334073,1.9299790555978675
"(('A', 'a'), ('I', 'a'))",c,66,255,0.6633663366336634,0.28412874583795783,2.334738551980198
"(('A', 'a'), ('I', 'a'))",o,62,321,0.6237623762376238,0.35738068812430634,1.7453723633232887
